                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9626,                 17.757,                 1.1904,                0.00303,                0.63095,                0.29036,                0.13525,                 2.1395,                 7.3664,                0.98323,             0.00047098,             0.00047098,             0.00047098
                      2,                 2.7292,                 10.995,                 1.1045,                 0.8461,                0.40173,                 0.4271,                 0.1546,                 2.1864,                 5.2806,                 1.0248,             0.00094356,             0.00094356,             0.00094356
                      3,                 2.5211,                 8.8657,                 1.0272,                0.94244,                0.42857,                0.44921,                0.18945,                 2.0679,                 4.8829,                0.97769,              0.0014124,              0.0014124,              0.0014124
                      4,                   2.48,                 9.2714,                 1.0358,                0.81868,                0.39286,                0.34039,                0.12974,                 2.3272,                 5.0308,                 1.0467,               0.001412,               0.001412,               0.001412
                      5,                 2.4792,                 7.5863,                 1.0103,                0.98197,                0.47752,                0.49525,                0.17055,                 2.2266,                 4.0742,                 1.0131,              0.0014064,              0.0014064,              0.0014064
                      6,                 2.3768,                 6.5802,                0.99461,                0.89193,                0.48214,                0.42384,                0.17317,                 1.9692,                 3.5478,                0.97878,              0.0014007,              0.0014007,              0.0014007
                      7,                 2.3338,                 5.8585,                0.98184,                 0.9497,                0.44643,                0.45209,                0.22103,                 2.0579,                 3.2743,                0.97419,               0.001395,               0.001395,               0.001395
                      8,                 2.3643,                 5.3509,                0.98057,                0.93105,                0.42857,                0.44762,                0.15737,                  2.187,                 3.1674,                 1.0076,              0.0013894,              0.0013894,              0.0013894
                      9,                 2.2873,                 4.7213,                0.96635,                0.90509,                0.45745,                0.45692,                0.18749,                 2.1128,                  2.741,                0.98626,              0.0013837,              0.0013837,              0.0013837
                     10,                 2.2481,                 4.5371,                0.94747,                0.94055,                0.41071,                0.41616,                0.13999,                 2.2523,                 2.5875,                 1.0124,              0.0013781,              0.0013781,              0.0013781
                     11,                 2.2553,                 3.9841,                0.97199,                0.97999,                0.42846,                0.49208,                0.20773,                 1.9809,                 2.4772,                0.95679,              0.0013724,              0.0013724,              0.0013724
                     12,                 2.1182,                 3.5463,                0.94929,                0.94715,                0.48214,                0.51431,                0.20351,                 1.9983,                 2.1115,                0.94987,              0.0013668,              0.0013668,              0.0013668
                     13,                  2.171,                 3.3003,                0.96077,                0.42054,                0.46429,                0.49224,                0.22063,                 1.9512,                  2.182,                0.95816,              0.0013611,              0.0013611,              0.0013611
                     14,                 2.0861,                 2.9406,                0.92304,                0.99675,                    0.5,                0.55649,                0.23406,                  1.957,                 1.8613,                0.97206,              0.0013554,              0.0013554,              0.0013554
                     15,                 2.1458,                 2.6408,                 0.9647,                0.99392,                    0.5,                0.70969,                0.30494,                 2.0072,                 1.7026,                0.94239,              0.0013498,              0.0013498,              0.0013498
                     16,                 2.1551,                  2.836,                0.93172,                0.94378,                    0.5,                 0.5857,                0.24445,                 1.9041,                 1.5912,                0.93377,              0.0013441,              0.0013441,              0.0013441
                     17,                 2.1717,                 2.3818,                0.95861,                0.96123,                0.41071,                0.52048,                0.19153,                 2.0266,                 1.7486,                0.96974,              0.0013385,              0.0013385,              0.0013385
